,#,item 1,item 2,item 3,item 4,item 5,item 6,item 7,item 8,item 9,item 10,item 11,item 12,item 13,item 14,item 15,item 16,item 17,item 18,item 19,item 20,item 21,item 22,item 23,item 24,item 25,item 26
24,9ablclps7lqgjwgma9ablj7h7z7b3ir2,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1
25,7uvnzwpuw5trwkkbw7uhw9r5dfqqtoiu,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,0,0
26,iuazo1zkzkua0deo6lhiuazo1dwmxcal,1,0,1,0,1,1,0,0,0,0,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0
27,9v53vpugb0mxr3pq49v53vaz24428vpi,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0
28,8bc8ycwgo4en8c88bc8mpufa1ttauhnn,1,1,0,1,1,1,1,0,1,1,0,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1
29,6959nzpkydaey0qlu37l6959nz16vk0t,1,0,0,1,0,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1
30,by28mj42bpbk9pabzo4fg6oiby28m2a4,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1,1,1,0,0,1,1,1,0,1,0,0
31,87oz66mqppm9bgyc87oz66p0mja3mb3m,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0
32,9ohx6kc95t4xjnqq9ohx6k04n09m15dp,1,0,1,1,0,1,0,1,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1
33,6j1heznmflnwsb4o6j1hezn53h8yl10q,1,0,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1
34,10m2cyzw0nsk10o1xr2d0u7n8pugc2jr,1,0,0,0,0,1,1,1,0,0,1,1,1,0,1,0,1,0,0,1,0,1,1,1,0,0
35,j61a6zqhqbxnrxg426syj61a6zgxpk2e,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
36,h0zp8qkts3yq00h0zp26mroxn0di0wek,1,0,0,0,1,1,1,0,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,1,0,1
37,ffbijrfsqjsh45rff3vaznab1ltf3vaj,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0,0
38,g9sbwxwb1rvgx4jeg9sbjotgkcyw0613,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0
39,i35af7tm1rbitux6y41oi35af7th36in,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0
40,rw3wxdix70y30hprw3wwuuid9eiu4v1q,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,1,1,0,0,1,1
41,xx072art30iksif6ejqxx07o6ry9mh9g,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1
42,gw8gxe1qohgp0wi20pgw812d8wi23n7t,0,1,0,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
43,6zski6cl6gcl1lesm6zskmetstw65sg0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1
44,mjx1hq8mb5p9ra3mjx1hq8ftpuu9g7vl,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,1,1,0,1,0,1
45,5vfwyx1vjw01871f3f5i845vfk6rwuu8,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,1,1,1,1
46,f0fv3k16ixwf5nf0fv3kjgk2xf7khotr,1,0,1,1,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0
