,#,country,gender,age,household_income,education_level,years_from_grad,previous_lang_perf,previous_math_perf,time_in_mins,percent_viewed,views_number,learn_scores,cog_scores
117,vdvnr1qqntdzm63yvbryvdvnrwhtnhzi,Rwanda,Male,24,3,2,1.0,5,5,87,8.370000000000001,1.0,1.40520654355823,-0.843154574446077
118,u68guqov564z3ya9nu68g67idv9bhpqs,Kenya,Female,22,1,2,1.0,5,5,104,15.945,2.5,-0.677263910653818,0.302843858459227
119,we2x9s53vz2efh2lwe2x9sqyf5sl8811,Kenya,Female,19,1,2,-3.0,4,4,55,21.395,1.5,-0.638046301103048,-0.326502567810982
120,4u49q4xiacrirmp5bl4u49q65gxjfg9e,Kenya,Male,33,5,3,8.0,5,5,51,99.83,1.5,0.244547351789708,-0.0124661334342217
121,6ictxss97n0lhkx9kgv6ictxsvst71td,Ghana,Female,33,2,2,10.0,4,3,71,99.53,2.5,-0.109254098253337,0.112467839446737
122,ep0winzifefx9xfep0wtwdkk03x59l8x,Nigeria,Male,27,1,2,5.0,1,3,86,5.615,1.5,0.529738535632004,0.583503275100038
123,8qfu4rlxyxo04jt8qyvzegwdasdcjkpt,Kenya,Male,26,1,2,2.0,1,1,57,54.025,2.5,-0.107055600960325,-1.10677224975094
124,mzw3yk974mnjtufnqghnmzw37zk36eml,Sudan,Female,25,1,2,0.0,3,4,90,99.49,3.5,0.848282558875064,1.54972418110228
125,bjg1qn2f71vtv2l3bjg1huv5h3rsp4mq,Uganda,Female,20,5,1,-2.0,5,5,58,94.84,3.0,0.378086912549362,0.494955532035518
126,5n601matxryqqpq5n6a04j1lqv9f1id6,Kenya,Female,30,4,2,10.0,5,3,51,100.0,2.0,-0.387007603666888,-0.556801077591237
127,0xb1oo7lck4r300xb129t2umfnxoch0o,Guinea,Female,27,1,1,1.0,4,5,16,99.29,1.5,-0.346883445570296,-0.74734817259133
128,tpbbkn0u2e61qcftpbbuypon1j1s88lj,Kenya,Male,21,1,2,-1.0,5,5,6,12.785,1.5,0.986827090959842,-0.785009810408312
129,d87u3q50a9i9zyyi3d87u7eccekrzaes,Sudan,Female,24,3,2,0.0,3,4,118,98.62,2.5,0.530592127725857,0.836210029727512
130,drrytt12z3cimqvdrryeet7bgnodrz3n,Kenya,Female,23,2,2,0.0,5,5,81,99.98,2.0,0.687058712316387,0.870128016384805
131,h2ldz7h6jkifkjw5z2h2ldz0ahzx56q2,Kenya,Female,30,5,2,6.0,3,3,20,90.575,4.0,-0.677375226416036,0.326698029089255
132,14jaf820q1q36ra4r0a314jax48zecyz,Kenya,Male,26,2,2,2.0,5,5,59,0.215,1.0,0.210865678556488,0.384121919144641
133,l0sl1mu3y7f23s3jbn2el0sl1muv60zs,Ethiopia,Female,23,1,2,0.0,5,4,88,100.0,1.5,1.1805064247072,1.39660605526155
134,5yblti8k2tvno5xx65ybltit4v7kfsm9,Nigeria,Female,29,5,2,6.0,4,3,24,63.505,1.5,-0.612132142106213,0.533049790504238
135,rjkbqppx34sc7rwtrjkbfu14hqs6mdvg,Nigeria,Male,23,1,3,0.0,5,5,33,100.0,2.0,0.064266199028392,0.598090333344934
136,q0lp5x4f845fgq0lpp3al41fs7zxp3ip,Nigeria,Male,25,1,2,0.0,5,3,15,99.665,1.5,-0.0050173569195148,0.163864259096339
137,xtnawa2ych2et3w6qgyj4xtnawadudx9,Kenya,Male,21,1,1,-3.0,5,5,9,63.215,1.0,-0.217577843129798,-0.265326518327053
138,gfllj6kyn1k9ay605k5zgfllj1api4bm,Kenya,Female,28,3,2,6.0,5,3,20,90.74,1.5,-0.749634680998717,-0.920675519844643
139,1uphm1snpzpujkz1uphwvme1j9ag752h,Kenya,Male,29,3,2,5.0,5,4,26,96.785,1.5,-1.12260652131934,-1.36451502357932
140,42ro88xy523rxtopg42rotsdcbv00yos,Kenya,Male,23,1,2,0.0,4,5,64,99.955,1.5,-0.451297982624895,0.13060074357964
141,uy51ns979wxrexm5jjlxuy51nkhix02j,Kenya,Female,26,3,2,0.0,5,5,116,100.0,1.0,1.30592524410262,1.56985030745173
142,ex3cichvlwdlbm5prex3cicy4m3q3fq3,Kenya,Female,27,3,2,5.0,5,5,61,100.0,1.0,-0.316137519952624,0.375642734659438
